row_index,changed_fields,old_student_utterance,new_student_utterance,old_miniLM_labels,new_miniLM_labels,old_hope_signals,new_hope_signals,old_target_policy_action,new_target_policy_action
6345,student_utterance;miniLM_labels;hope_signals;target_policy_action,"can you just show me how to use BPT theorem in problems? i dont need to know how it came, just the application part is enough for exam.","can you just show me how to use BPT theorem in problems? i don't need to know how it came, just the application part is enough for exam.","procedural_focus, shortcut_seeking, ready_for_next, question","algebraic, anxiety, curiosity, question, representation_shift, request_representation, transfer_attempt","Low productive_struggle,Low ct_score","Moderate load_risk, Anxiety, Active engagement, High ct_score",WORKED_EXAMPLE,EXPLAIN
6346,miniLM_labels;hope_signals;target_policy_action,"sir, this quadratic formula is like a shortcut for all questions na? i only want to learn this one for boards.","sir, this quadratic formula is like a shortcut for all questions na? i only want to learn this one for boards.","procedural_focus, shortcut_seeking, anxiety, question","algebraic, anxiety, curiosity, diagrammatic, procedural_focus, question, shortcut_seeking","Low productive_struggle,Surface engagement","Moderate load_risk, Anxiety, Surface engagement, Low productive_struggle",SOCRATIC_Q,EXPLAIN
6347,miniLM_labels;hope_signals;target_policy_action,is this type of question coming for sure in the board exam? like 4 marks or 5 marks?,is this type of question coming for sure in the board exam? like 4 marks or 5 marks?,"anxiety, procedural_focus, question","anxiety, curiosity, environmental_feedback, question","Low productive_struggle,Surface engagement","Moderate load_risk, Anxiety, Active engagement, High ct_score",METACOGNITIVE_REFLECT,EXPLAIN
6348,miniLM_labels;hope_signals,"for finding mean, can you just give me the formula? i'll just remember it, no need for derivation.","for finding mean, can you just give me the formula? i'll just remember it, no need for derivation.","procedural_focus, shortcut_seeking, question, request_hint","abstraction_attempt, algebraic, curiosity, procedural_focus, question, shortcut_seeking","Low ki_score,Surface engagement","Surface engagement, Low productive_struggle, Active engagement, High ct_score",EXPLAIN,EXPLAIN
6349,miniLM_labels;hope_signals,ok i got it. next question please. this concept is clear now.,ok i got it. next question please. this concept is clear now.,"ready_for_next, answer_attempt","abstraction_attempt, answer_attempt, high_confidence","Surface engagement,Low ct_score","High confidence, Mastery threshold met, High ct_score, High ki_score",QUIZ,QUIZ
6350,miniLM_labels;hope_signals,"these sin cos values for 30, 45, 60... do we have to draw the whole triangle in exam or just write the value?","these sin cos values for 30, 45, 60... do we have to draw the whole triangle in exam or just write the value?","procedural_focus, anxiety, question","algebraic, anxiety, curiosity, diagrammatic, question, representation_shift, request_representation","Low productive_struggle,Surface engagement","Moderate load_risk, Anxiety, Active engagement, High ct_score",EXPLAIN,EXPLAIN
6351,miniLM_labels;hope_signals;target_policy_action,"just tell me the steps i need to follow to solve this problem type, i'll practice them.","just tell me the steps i need to follow to solve this problem type, i'll practice them.","procedural_focus, hint_dependency, request_hint","example_request, procedural_focus, self_monitoring, shortcut_seeking","Low productive_struggle,Low ki_score","Surface engagement, Low productive_struggle, Active engagement, Moderate ct_score",SOCRATIC_Q,WORKED_EXAMPLE
6352,miniLM_labels;hope_signals;target_policy_action,"for proof by contradiction, what are the main lines i need to write to get full marks in boards? like step by step.","for proof by contradiction, what are the main lines i need to write to get full marks in boards? like step by step.","procedural_focus, anxiety, shortcut_seeking, question","abstraction_attempt, algebraic, anxiety, cognitive_overload, curiosity, diagrammatic, example_request, procedural_focus, question, self_monitoring","Surface engagement,Moderate load_risk","High load_risk, Anxiety, Cognitive overload, Active engagement",WORKED_EXAMPLE,EXPLAIN
6353,miniLM_labels;hope_signals;target_policy_action,"this looks new, is it important for the final exam or can we just skip it? i want to focus on sure-shot questions.","this looks new, is it important for the final exam or can we just skip it? i want to focus on sure-shot questions.","anxiety, shortcut_seeking, disengagement, question","anxiety, curiosity, disengagement, question, self_monitoring","High load_risk,Low productive_struggle","Moderate load_risk, Anxiety, Surface engagement, Low productive_struggle",ENCOURAGE,EXPLAIN
6354,miniLM_labels;hope_signals;target_policy_action,"BPT theorem is just a/b = c/d na? i just need to find the right sides to divide, then calculation only.","BPT theorem is just a/b = c/d na? i just need to find the right sides to divide, then calculation only.","procedural_focus, answer_attempt, low_confidence, question","algebraic, answer_attempt, curiosity, procedural_focus, question, shortcut_seeking","Surface engagement,Low ct_score","Surface engagement, Low productive_struggle, Active engagement, High ct_score",MISCONCEPTION_PROBE,METACOGNITIVE_REFLECT
6355,miniLM_labels;hope_signals;target_policy_action,"for combined solids, which formula is used for total surface area? i always get confused if i have to add everything or subtract common part.","for combined solids, which formula is used for total surface area? i always get confused if i have to add everything or subtract common part.","procedural_focus, confusion, anxiety, question","algebraic, confusion, curiosity, diagrammatic, procedural_focus, question, recurring_error","Moderate load_risk,Low ki_score","Moderate load_risk, Recurring error, Recurring Misconception, Recurring misconception",REPRESENTATION_TRANSLATION,EXPLAIN
6356,miniLM_labels;hope_signals;target_policy_action,sir is it important to remember all sin cos values for board exam? can we not use table?,sir is it important to remember all sin cos values for board exam? can we not use table?,"procedural_focus, anxiety, question","algebraic, anxiety, curiosity, environmental_feedback, question, tabular","Low productive_struggle,Surface engagement","Moderate load_risk, Anxiety, Active engagement, High ct_score",SOCRATIC_Q,EXPLAIN
6357,miniLM_labels;hope_signals;target_policy_action,will this topic come in boards? like for how many marks?,will this topic come in boards? like for how many marks?,"anxiety, procedural_focus, question","anxiety, curiosity, question","Low productive_struggle,Surface engagement","Moderate load_risk, Anxiety, Active engagement, High ct_score",SOCRATIC_Q,EXPLAIN
6358,miniLM_labels;hope_signals;target_policy_action,Factorization for quadratic is so slow na. can we just use quadratic formula everytime? will marks be cut?,Factorization for quadratic is so slow na. can we just use quadratic formula everytime? will marks be cut?,"shortcut_seeking, procedural_focus, question, anxiety","algebraic, anxiety, diagrammatic, frustration, low_confidence, procedural_focus, question","Low productive_struggle,Moderate load_risk","High load_risk, Low confidence, Anxiety, Active engagement",WORKED_EXAMPLE,EXPLAIN
6359,miniLM_labels;hope_signals;target_policy_action,"too much theory. just tell me the formulas for this chapter, I'll memorize them.","too much theory. just tell me the formulas for this chapter, I'll memorize them.","procedural_focus, shortcut_seeking, disengagement, request_hint","abstraction_attempt, cognitive_overload, shortcut_seeking","Low productive_struggle,Low ki_score","Moderate load_risk, Cognitive overload, Surface engagement, Low productive_struggle",SOCRATIC_Q,EXPLAIN
6360,miniLM_labels;hope_signals;target_policy_action,"for finding mean, can i always use direct method? the other ones are too confusing.","for finding mean, can i always use direct method? the other ones are too confusing.","procedural_focus, shortcut_seeking, low_confidence, question","algebraic, confusion, curiosity, misconception_clue, procedural_focus, question, recurring_error","Low productive_struggle,Surface engagement","Moderate load_risk, Active misconception, Active misconception check, Misconception clue",EXPLAIN,MISCONCEPTION_PROBE
6361,miniLM_labels;hope_signals;target_policy_action,"ok done with this, what is the next topic we have to finish for syllabus?","ok done with this, what is the next topic we have to finish for syllabus?","ready_for_next, procedural_focus, question","curiosity, question, ready_for_next, topic_shift",Surface engagement,"Surface engagement, High confidence opportunity, Mastery threshold met, Active engagement",TRANSFER_PROBLEM,EXPLAIN
6362,miniLM_labels;hope_signals;target_policy_action,is proof by contradiction asked in exams? or only the examples of root 2 irrational is enough?,is proof by contradiction asked in exams? or only the examples of root 2 irrational is enough?,"procedural_focus, anxiety, question, example_request","abstraction_attempt, algebraic, anxiety, curiosity, question","Low productive_struggle,Surface engagement","Moderate load_risk, Anxiety, Active engagement, High ct_score",SOCRATIC_Q,EXPLAIN
6363,miniLM_labels;hope_signals;target_policy_action,just tell me the type of questions that come in boards from this. I'll practice those only.,just tell me the type of questions that come in boards from this. I'll practice those only.,"shortcut_seeking, procedural_focus, anxiety, request_hint","anxiety, example_request, shortcut_seeking","Low productive_struggle,Low ki_score","Moderate load_risk, Anxiety, Surface engagement, Low productive_struggle",SOCRATIC_Q,EXPLAIN
6364,miniLM_labels;hope_signals,"between substitution and elimination, which method is easier for boards? like which one to use always?","between substitution and elimination, which method is easier for boards? like which one to use always?","shortcut_seeking, procedural_focus, question, simplification_request","algebraic, anxiety, curiosity, procedural_focus, question, recurring_error, simplification_request","Low productive_struggle,Moderate load_risk","Moderate load_risk, Anxiety, Recurring error, Recurring Misconception",EXPLAIN,EXPLAIN
6365,miniLM_labels;hope_signals;target_policy_action,do we need to derive the area of segment formula or just remember it for exam?,do we need to derive the area of segment formula or just remember it for exam?,"procedural_focus, anxiety, question","algebraic, anxiety, curiosity, diagrammatic, procedural_focus, question","Low productive_struggle,Surface engagement","Moderate load_risk, Anxiety, Active engagement, High ct_score",SOCRATIC_Q,EXPLAIN
6366,miniLM_labels;hope_signals;target_policy_action,"this proof by contradiction, i just need to mug up the steps for boards na? no need to understand fully?","this proof by contradiction, i just need to mug up the steps for boards na? no need to understand fully?","procedural_focus, anxiety, shortcut_seeking, question","abstraction_attempt, algebraic, anxiety, cognitive_overload, curiosity, misconception_clue, procedural_focus, question, shortcut_seeking","Low productive_struggle,Surface engagement","High load_risk, Anxiety, Cognitive overload, Active misconception check",SOCRATIC_Q,EXPLAIN
6367,miniLM_labels;hope_signals;target_policy_action,"sir, which questions are most important for the board exam from this chapter?","sir, which questions are most important for the board exam from this chapter?","anxiety, question, shortcut_seeking","anxiety, curiosity, environmental_feedback, question","Low productive_struggle,Moderate load_risk","Moderate load_risk, Anxiety, Active engagement, High ct_score",METACOGNITIVE_REFLECT,EXPLAIN
6368,miniLM_labels;hope_signals,"for quadratic equations, if i just use the quadratic formula, is that enough? like no need for factorization or completing the square?","for quadratic equations, if i just use the quadratic formula, is that enough? like no need for factorization or completing the square?","procedural_focus, shortcut_seeking, question","algebraic, curiosity, procedural_focus, question, transfer_attempt","Low productive_struggle,Surface engagement","Active engagement, High ct_score, High ki_score, High kt_score",EXPLAIN,EXPLAIN
6369,miniLM_labels;hope_signals;target_policy_action,"ok this formula is clear, can we move to the next topic now?","ok this formula is clear, can we move to the next topic now?","ready_for_next, procedural_focus, question","algebraic, curiosity, high_confidence, procedural_focus, question, ready_for_next, topic_shift",Surface engagement,"High confidence, Mastery threshold met, High confidence opportunity, Active engagement",QUIZ,RESUME_STATE
6370,miniLM_labels;hope_signals;target_policy_action,"all those sin cos values for 0, 30, 45, 60, 90, can you just give me a table or a trick to remember them quickly for the exam?","all those sin cos values for 0, 30, 45, 60, 90, can you just give me a table or a trick to remember them quickly for the exam?","shortcut_seeking, procedural_focus, anxiety, question, request_hint","algebraic, anxiety, curiosity, question, shortcut_seeking, tabular","Low productive_struggle,Moderate load_risk","Moderate load_risk, Anxiety, Surface engagement, Low productive_struggle",WORKED_EXAMPLE,EXPLAIN
6371,miniLM_labels;hope_signals;target_policy_action,what are the definite questions coming from this chapter for the final exam?,what are the definite questions coming from this chapter for the final exam?,"anxiety, shortcut_seeking, question","anxiety, curiosity, question","Low productive_struggle,Moderate load_risk","Moderate load_risk, Anxiety, Active engagement, High ct_score",METACOGNITIVE_REFLECT,EXPLAIN
6372,miniLM_labels;hope_signals,"between substitution and elimination, which method is more important for boards? or which is faster to do?","between substitution and elimination, which method is more important for boards? or which is faster to do?","procedural_focus, shortcut_seeking, anxiety, question","algebraic, anxiety, curiosity, procedural_focus, question, shortcut_seeking","Low productive_struggle,Surface engagement","Moderate load_risk, Anxiety, Surface engagement, Low productive_struggle",EXPLAIN,EXPLAIN
6373,miniLM_labels;hope_signals;target_policy_action,"just tell me the formula for this, i'll put the values and get the answer.","just tell me the formula for this, i'll put the values and get the answer.","procedural_focus, shortcut_seeking, hint_dependency, request_hint","algebraic, procedural_focus, shortcut_seeking","Low productive_struggle,Low ct_score","Surface engagement, Low productive_struggle, Moderate kt_score, Procedural focus",SOCRATIC_Q,METACOGNITIVE_REFLECT
6374,miniLM_labels;hope_signals;target_policy_action,"what's the formula for the nth term of AP? just give me that, i can do the sums.","what's the formula for the nth term of AP? just give me that, i can do the sums.","procedural_focus, shortcut_seeking, ready_for_next, question, request_hint","algebraic, curiosity, procedural_focus, question, self_monitoring, shortcut_seeking",Surface engagement,"Surface engagement, Low productive_struggle, Active engagement, High ct_score",QUIZ,METACOGNITIVE_REFLECT
6375,miniLM_labels;hope_signals;target_policy_action,"for mean of grouped data, direct method is good for small numbers na? for big numbers, which method should i always use?","for mean of grouped data, direct method is good for small numbers na? for big numbers, which method should i always use?","procedural_focus, question, anxiety","algebraic, curiosity, procedural_focus, question, self_monitoring","Low productive_struggle,Moderate load_risk","Active engagement, High ct_score, Moderate ki_score, Moderate kt_score",EXPLAIN,SOCRATIC_Q
6376,miniLM_labels;hope_signals,sir is this quadratic formula important for boards? like do we need to derive it or just remember it?,sir is this quadratic formula important for boards? like do we need to derive it or just remember it?,"procedural_focus, question, anxiety","algebraic, anxiety, curiosity, procedural_focus, question","Surface engagement,Moderate load_risk","Moderate load_risk, Anxiety, Active engagement, High ct_score",EXPLAIN,EXPLAIN
6377,miniLM_labels;hope_signals;target_policy_action,what all formulas are there in this chapter that i should just learn by heart for exam?,what all formulas are there in this chapter that i should just learn by heart for exam?,"procedural_focus, shortcut_seeking, anxiety, question","anxiety, curiosity, question","Low productive_struggle,Surface engagement","Moderate load_risk, Anxiety, Active engagement, High ct_score",SOCRATIC_Q,EXPLAIN
6378,miniLM_labels;hope_signals;target_policy_action,do we really have to know how sin 30 came? can't we just use the values from table directly in questions?,do we really have to know how sin 30 came? can't we just use the values from table directly in questions?,"procedural_focus, shortcut_seeking, question","algebraic, curiosity, low_confidence, question, tabular","Low productive_struggle,Low ki_score","Moderate load_risk, Low confidence, Active engagement, High ct_score",SOCRATIC_Q,EXPLAIN
6379,miniLM_labels;hope_signals;target_policy_action,"for these types of sums, what are the exact steps i should follow to get the answer quickly?","for these types of sums, what are the exact steps i should follow to get the answer quickly?","procedural_focus, shortcut_seeking, hint_dependency, question","curiosity, procedural_focus, question",Surface engagement,"Active engagement, High ct_score, Moderate ki_score, Moderate kt_score",WORKED_EXAMPLE,SOCRATIC_Q
6380,miniLM_labels;hope_signals,"this proof by contradiction method, is it always the same steps? i just need to memorize how to write it na?","this proof by contradiction method, is it always the same steps? i just need to memorize how to write it na?","procedural_focus, question, low_confidence","abstraction_attempt, algebraic, curiosity, procedural_focus, question, shortcut_seeking","Low ki_score,Moderate load_risk","Surface engagement, Low productive_struggle, Active engagement, High ct_score",EXPLAIN,EXPLAIN
6381,miniLM_labels;hope_signals;target_policy_action,will this specific type of question come in the board exam? like is it important?,will this specific type of question come in the board exam? like is it important?,"anxiety, procedural_focus, question","anxiety, curiosity, environmental_feedback, question",Surface engagement,"Moderate load_risk, Anxiety, Active engagement, High ct_score",SOCRATIC_Q,EXPLAIN
6382,miniLM_labels;hope_signals,"that nth term formula for AP, where did it come from? do we need to learn derivation for boards or just the formula?","that nth term formula for AP, where did it come from? do we need to learn derivation for boards or just the formula?","procedural_focus, question, anxiety","abstraction_attempt, algebraic, anxiety, curiosity, procedural_focus, question","Low productive_struggle,Moderate load_risk","Moderate load_risk, Anxiety, Active engagement, High ct_score",EXPLAIN,EXPLAIN
6383,miniLM_labels;hope_signals;target_policy_action,can we finish this topic fast? i still have so many chapters to cover before boards.,can we finish this topic fast? i still have so many chapters to cover before boards.,"ready_for_next, anxiety, topic_shift, question","anxiety, curiosity, question","High load_risk,Surface engagement","Moderate load_risk, Anxiety, Active engagement, High ct_score",RESUME_STATE,EXPLAIN
6384,miniLM_labels;hope_signals;target_policy_action,"for finding mean of grouped data, direct method is easiest na? why bother with assumed mean or step deviation, they make it complicated for boards.","for finding mean of grouped data, direct method is easiest na? why bother with assumed mean or step deviation, they make it complicated for boards.","procedural_focus, shortcut_seeking, question","algebraic, anxiety, curiosity, procedural_focus, question","Low ct_score,Surface engagement","Moderate load_risk, Anxiety, Active engagement, High ct_score",SOCRATIC_Q,EXPLAIN
6385,miniLM_labels;hope_signals;target_policy_action,"in similarity questions, how to instantly know if it's SSS or SAS or AA? like, what's the trick to just pick the right one for exam?","in similarity questions, how to instantly know if it's SSS or SAS or AA? like, what's the trick to just pick the right one for exam?","procedural_focus, shortcut_seeking, hint_dependency, question","anxiety, curiosity, question, shortcut_seeking","Low ki_score,Moderate load_risk","Moderate load_risk, Anxiety, Surface engagement, Low productive_struggle",WORKED_EXAMPLE,EXPLAIN
6386,miniLM_labels;hope_signals;target_policy_action,sir is this proof of root 2 irrationality important for boards? do i need to know all the steps or just the idea?,sir is this proof of root 2 irrationality important for boards? do i need to know all the steps or just the idea?,"procedural_focus, anxiety, question","abstraction_attempt, algebraic, anxiety, curiosity, procedural_focus, question, self_monitoring","Low productive_struggle,Surface engagement","Moderate load_risk, Anxiety, Active engagement, High ct_score",SOCRATIC_Q,EXPLAIN
6387,miniLM_labels;hope_signals,can i just remember the formulas for sum of zeroes and product of zeroes without knowing how they come?,can i just remember the formulas for sum of zeroes and product of zeroes without knowing how they come?,"procedural_focus, shortcut_seeking, question","algebraic, curiosity, question","Low productive_struggle,Surface engagement","Active engagement, High ct_score, Moderate ki_score",SOCRATIC_Q,SOCRATIC_Q
6388,miniLM_labels;hope_signals,"the BPT theorem, which type of questions come from it in the board exam? just direct proof or like applications also?","the BPT theorem, which type of questions come from it in the board exam? just direct proof or like applications also?","procedural_focus, anxiety, question","abstraction_attempt, algebraic, anxiety, curiosity, environmental_feedback, question, transfer_attempt","Low productive_struggle,Surface engagement","Moderate load_risk, Anxiety, Active engagement, High ct_score",EXPLAIN,EXPLAIN
6389,miniLM_labels;hope_signals;target_policy_action,"ok i understand this part, what's the next formula i have to learn?","ok i understand this part, what's the next formula i have to learn?","procedural_focus, ready_for_next, question","algebraic, curiosity, procedural_focus, question","Surface engagement,Low ct_score","Active engagement, High ct_score, Moderate ki_score, Moderate kt_score",WORKED_EXAMPLE,SOCRATIC_Q
6390,miniLM_labels;hope_signals,"for AP sum of n terms, should I use n/2(a+l) or n/2(2a+(n-1)d)? which one is better for exam?","for AP sum of n terms, should I use n/2(a+l) or n/2(2a+(n-1)d)? which one is better for exam?","procedural_focus, shortcut_seeking, anxiety, question","algebraic, anxiety, curiosity, question","Low productive_struggle,Moderate load_risk","Moderate load_risk, Anxiety, Active engagement, High ct_score",EXPLAIN,EXPLAIN
6391,miniLM_labels;hope_signals,"this quadratic formula, do we have to derive it also for the exam or just know how to apply it?","this quadratic formula, do we have to derive it also for the exam or just know how to apply it?","procedural_focus, anxiety, question","algebraic, anxiety, curiosity, procedural_focus, question, transfer_attempt","Low productive_struggle,Surface engagement","Moderate load_risk, Anxiety, Active engagement, High ct_score",EXPLAIN,EXPLAIN
6392,miniLM_labels;hope_signals;target_policy_action,"can you just show me the steps for one problem, like a solved example, i will understand better then.","can you just show me the steps for one problem, like a solved example, i will understand better then.","hint_dependency, procedural_focus, answer_attempt, question, example_request","curiosity, procedural_focus, question, representation_shift, request_representation","Low productive_struggle,Low ki_score","Active engagement, High ct_score, Moderate ki_score, High ki_score opportunity",WORKED_EXAMPLE,REPRESENTATION_TRANSLATION
6393,miniLM_labels;hope_signals,"how to remember all the sin cos tan values for 0, 30, 45, 60, 90 degrees? is there a table i can just use?","how to remember all the sin cos tan values for 0, 30, 45, 60, 90 degrees? is there a table i can just use?","procedural_focus, shortcut_seeking, question","algebraic, curiosity, question, self_monitoring, tabular","Low productive_struggle,Surface engagement","Active engagement, High ct_score, Moderate ki_score, Moderate confidence",EXPLAIN,EXPLAIN
6394,miniLM_labels;hope_signals;target_policy_action,is this chapter very important for the final exams? how many marks usually come from it?,is this chapter very important for the final exams? how many marks usually come from it?,"anxiety, question, procedural_focus","anxiety, curiosity, question","Low productive_struggle,Moderate load_risk","Moderate load_risk, Anxiety, Active engagement, High ct_score",ENCOURAGE,EXPLAIN
6395,miniLM_labels;hope_signals;target_policy_action,"for probability questions, just formula P(E) = favorable/total is enough na? or do we need deep understanding?","for probability questions, just formula P(E) = favorable/total is enough na? or do we need deep understanding?","procedural_focus, shortcut_seeking, question","algebraic, answer_attempt, curiosity, procedural_focus, question","Low productive_struggle,Surface engagement","Active engagement, High ct_score, Moderate ki_score, Moderate kt_score",SOCRATIC_Q,EXPLAIN
6396,miniLM_labels;hope_signals;target_policy_action,which formulas should i memorize for the exams? like the super important ones.,which formulas should i memorize for the exams? like the super important ones.,"procedural_focus, anxiety, shortcut_seeking, question","anxiety, curiosity, question, shortcut_seeking","Low productive_struggle,Surface engagement,Moderate load_risk","Moderate load_risk, Anxiety, Surface engagement, Low productive_struggle",SOCRATIC_Q,EXPLAIN
6397,miniLM_labels;hope_signals;target_policy_action,"so for quadratic equation, just use the formula, no need to understand factorization na?","so for quadratic equation, just use the formula, no need to understand factorization na?","procedural_focus, shortcut_seeking, question, low_confidence","algebraic, curiosity, misconception_clue, procedural_focus, question, shortcut_seeking","Low productive_struggle,Low ki_score","Active misconception check, Misconception clue, Surface engagement, Low productive_struggle",SOCRATIC_Q,MISCONCEPTION_PROBE
6398,student_utterance;miniLM_labels;hope_signals,can u just tell me the steps to solve this type of sum quickly? i need to finish fast.,can you just tell me the steps to solve this type of sum quickly? i need to finish fast.,"procedural_focus, hint_dependency, shortcut_seeking, ready_for_next, question, request_hint","curiosity, procedural_focus, question, self_monitoring, shortcut_seeking","Low productive_struggle,Surface engagement","Surface engagement, Low productive_struggle, Active engagement, High ct_score",WORKED_EXAMPLE,WORKED_EXAMPLE
6399,miniLM_labels;hope_signals;target_policy_action,"this an = a + (n-1)d formula, i just need to mug it up for boards na?","this an = a + (n-1)d formula, i just need to mug it up for boards na?","procedural_focus, anxiety, shortcut_seeking, question","algebraic, answer_attempt, anxiety, curiosity, procedural_focus, question, shortcut_seeking","Moderate load_risk,Surface engagement","Moderate load_risk, Anxiety, Surface engagement, Low productive_struggle",SOCRATIC_Q,EXPLAIN
6400,miniLM_labels;hope_signals;target_policy_action,is this topic even important for my board exams? like will it come?,is this topic even important for my board exams? like will it come?,"anxiety, question, disengagement, procedural_focus","anxiety, curiosity, environmental_feedback, question","Low productive_struggle,Moderate load_risk","Moderate load_risk, Anxiety, Active engagement, High ct_score",ENCOURAGE,EXPLAIN
6401,miniLM_labels;hope_signals;target_policy_action,"for mean, direct method is easiest, should i just stick to that only? no need for assumed mean or step-deviation, right?","for mean, direct method is easiest, should i just stick to that only? no need for assumed mean or step-deviation, right?","procedural_focus, shortcut_seeking, question, hint_dependency","algebraic, answer_attempt, curiosity, physical, procedural_focus, question, self_monitoring","Low productive_struggle,Low ki_score","Active engagement, High ct_score, High ki_score, High ki_score opportunity",SOCRATIC_Q,EXPLAIN
6402,miniLM_labels;hope_signals,"sin cos tan, i just apply the SOH CAH TOA thing, no need to understand what it means right? just need to get the answer.","sin cos tan, i just apply the SOH CAH TOA thing, no need to understand what it means right? just need to get the answer.","procedural_focus, shortcut_seeking, low_confidence, question","algebraic, answer_attempt, curiosity, misconception_clue, procedural_focus, question, shortcut_seeking, transfer_attempt","Low productive_struggle,Low ct_score","Active misconception check, Misconception clue, Surface engagement, Low productive_struggle",EXPLAIN,EXPLAIN
6403,miniLM_labels;hope_signals;target_policy_action,can you just show me the final answer or the steps? i need to see how it's done quickly.,can you just show me the final answer or the steps? i need to see how it's done quickly.,"hint_dependency, shortcut_seeking, procedural_focus, ready_for_next, question","curiosity, procedural_focus, question, representation_shift, request_representation, self_monitoring","Low productive_struggle,Surface engagement","Active engagement, High ct_score, Moderate ki_score, High ki_score opportunity",WORKED_EXAMPLE,REPRESENTATION_TRANSLATION
6404,miniLM_labels;hope_signals;target_policy_action,"that tangent theorem, lengths are equal, is it enough to just remember that for exam? or do i need to know proof also?","that tangent theorem, lengths are equal, is it enough to just remember that for exam? or do i need to know proof also?","procedural_focus, anxiety, question, shortcut_seeking","abstraction_attempt, algebraic, anxiety, curiosity, diagrammatic, question, self_monitoring","Moderate load_risk,Surface engagement","Moderate load_risk, Anxiety, Active engagement, High ct_score",SOCRATIC_Q,EXPLAIN
6405,miniLM_labels;hope_signals;target_policy_action,"these root 2 irrationality proofs are so confusing, should i just ignore them for the boards if i can't get it? usually they ask easier sums na?","these root 2 irrationality proofs are so confusing, should i just ignore them for the boards if i can't get it? usually they ask easier sums na?","procedural_focus, anxiety, shortcut_seeking, question, low_confidence, simplification_request","algebraic, anxiety, confusion, curiosity, low_confidence, question, self_monitoring, simplification_request","High load_risk,Low productive_struggle","High load_risk, Low confidence, Anxiety, Active engagement",ENCOURAGE,EXPLAIN
6406,miniLM_labels;hope_signals;target_policy_action,"for quadratic equation, we just need to remember the formula for exam right? no need to derive or anything?","for quadratic equation, we just need to remember the formula for exam right? no need to derive or anything?","procedural_focus, shortcut_seeking, anxiety, question","algebraic, answer_attempt, anxiety, curiosity, prerequisite_awareness, prerequisite_weakness, procedural_focus, question, shortcut_seeking","Surface engagement,Moderate load_risk","Moderate load_risk, Anxiety, Prerequisite awareness, Prerequisite weakness",SOCRATIC_Q,EXPLAIN
6407,miniLM_labels;hope_signals,this sum of AP formula is important for boards na? how do i remember it quickly?,this sum of AP formula is important for boards na? how do i remember it quickly?,"procedural_focus, shortcut_seeking, anxiety, question","algebraic, anxiety, curiosity, procedural_focus, question","Low productive_struggle,Surface engagement","Moderate load_risk, Anxiety, Active engagement, High ct_score",EXPLAIN,EXPLAIN
6408,miniLM_labels;hope_signals;target_policy_action,is this topic going to come in final exams? like for how many marks?,is this topic going to come in final exams? like for how many marks?,"anxiety, question, procedural_focus","anxiety, curiosity, question","Low productive_struggle,Surface engagement","Moderate load_risk, Anxiety, Active engagement, High ct_score",ENCOURAGE,EXPLAIN
6409,miniLM_labels;hope_signals;target_policy_action,"sir, these sin cos values for special angles, should i just mug up the table? or is there an easy way to get them fast in exam?","sir, these sin cos values for special angles, should i just mug up the table? or is there an easy way to get them fast in exam?","procedural_focus, shortcut_seeking, anxiety, question, simplification_request","algebraic, anxiety, curiosity, diagrammatic, high_confidence, question, shortcut_seeking, tabular","Low productive_struggle,Surface engagement","Moderate load_risk, Anxiety, Surface engagement, Low productive_struggle",WORKED_EXAMPLE,EXPLAIN
6410,miniLM_labels;hope_signals;target_policy_action,ok i think i got this one. can we do the next type of question now?,ok i think i got this one. can we do the next type of question now?,"ready_for_next, procedural_focus, question","answer_attempt, curiosity, high_confidence, question, self_monitoring","Surface engagement,Low ct_score","High confidence, Mastery threshold met, Active engagement, High ct_score",TRANSFER_PROBLEM,QUIZ
6411,miniLM_labels;hope_signals;target_policy_action,"for similarity, which one is more common in exams, AAA or SAS? I just want to practice those types.","for similarity, which one is more common in exams, AAA or SAS? I just want to practice those types.","procedural_focus, shortcut_seeking, anxiety, question","anxiety, curiosity, example_request, question","Low productive_struggle,Surface engagement","Moderate load_risk, Anxiety, Active engagement, High ct_score",SOCRATIC_Q,EXPLAIN
6412,miniLM_labels;hope_signals,"in mean, direct method is easy but calculations are big. can we just stick to step deviation method for exams? it feels faster.","in mean, direct method is easy but calculations are big. can we just stick to step deviation method for exams? it feels faster.","procedural_focus, shortcut_seeking, question","algebraic, anxiety, curiosity, high_confidence, physical, procedural_focus, question, shortcut_seeking","Low productive_struggle,Surface engagement","Moderate load_risk, Anxiety, Surface engagement, Low productive_struggle",EXPLAIN,EXPLAIN
6413,miniLM_labels;hope_signals;target_policy_action,what are the main formulas or points from this chapter that we should definitely know for the board exams?,what are the main formulas or points from this chapter that we should definitely know for the board exams?,"procedural_focus, shortcut_seeking, anxiety, question","anxiety, curiosity, environmental_feedback, question","Surface engagement,Moderate load_risk","Moderate load_risk, Anxiety, Active engagement, High ct_score",METACOGNITIVE_REFLECT,EXPLAIN
6414,miniLM_labels;hope_signals;target_policy_action,"tangents from external point are equal, this theorem is easy. just remember this for questions right?","tangents from external point are equal, this theorem is easy. just remember this for questions right?","procedural_focus, shortcut_seeking, low_confidence, question","algebraic, answer_attempt, curiosity, diagrammatic, high_confidence, question","Low productive_struggle,Surface engagement","High confidence, Mastery threshold met, Active engagement, High ct_score",SOCRATIC_Q,EXPLAIN
