student_utterance,concept_id,miniLM_labels,hope_signals,target_policy_action,category
"i am not sure what is happening here, can you like go back to the very basic step of this concept?",INHERIT_CURRENT_CONCEPT,"confusion, request_hint, self_monitoring","High load_risk, Low productive_struggle",BRIDGE_RECAP,4
"what was degree of polynomial again? i feel like i missed that or forgot, need to revise that to understand this.",jemh102__polynomial_degree,"self_monitoring, confusion, prerequisite_awareness","Prerequisite awareness, Low confidence",REVIEW,4
"for mean of grouped data, why do we even have a direct method? assumed mean is always better, can we just use that one only?",jemh113__mean_grouped_data,"frustration, shortcut_seeking, topic_shift","Moderate load_risk, Low productive_struggle",SOCRATIC_Q,4
"understood this completely, no doubts now. next problem please.",INHERIT_CURRENT_CONCEPT,"ready_for_next, topic_shift","Mastery threshold met, High confidence",TRANSFER_PROBLEM,4
"these combined solids questions are so confusing, like finding surface area of a toy which is cone on a hemisphere, can we just do simple ones first or simplify this type?",jemh112__surface_area_combined_solids,"frustration, cognitive_overload, topic_shift","High load_risk, Low productive_struggle",REPRESENTATION_TRANSLATION,4
"parabola is easy, we can skip these basic sums na, show me the harder ones.",jemh102__quadratic_zero_geometry,"ready_for_next,topic_shift","High confidence,Mastery threshold met",TRANSFER_PROBLEM,4
"before we do these angles, can you remind me what sin and cos actually mean in a triangle? like the sides?",jemh108__fundamental_trig_ratios,"self_monitoring,confusion,question","Prerequisite awareness,Low confidence",BRIDGE_RECAP,4
"ok i understand this part now, what's the next concept pls?",INHERIT_CURRENT_CONCEPT,"ready_for_next,topic_shift",Mastery threshold met,TRANSFER_PROBLEM,4
"this contradiction thing is too confusing, can we just leave it for now and do something else? my head hurts.",jemh101__proof_by_contradiction_method,"frustration,topic_shift,cognitive_overload",High load_risk,REVIEW,4
"nth term formula is clear, can we move to sum of n terms now?",jemh105__nth_term_formula,"ready_for_next,topic_shift","High confidence,Mastery threshold met",TRANSFER_PROBLEM,4
"im done with this exercise, give me the next one",INHERIT_CURRENT_CONCEPT,"ready_for_next,topic_shift",Mastery threshold met,TRANSFER_PROBLEM,4
"i dont remember how to plot points on graph only, maybe i should revise coordinate system first?",jemh107__cartesian_coordinate_system,"self_monitoring,confusion,prerequisite_awareness","Prerequisite weakness,Low confidence",REVIEW,4
"consistent, inconsistent... what was the meaning of these terms again? i forgot from previous class.",jemh103__system_classification,"confusion,self_monitoring,question","Prerequisite weakness,Low confidence",BRIDGE_RECAP,4
"this is too hard right now, can we try something else pls?",INHERIT_CURRENT_CONCEPT,"frustration,topic_shift,cognitive_overload",High load_risk,REVIEW,4
"i think i get probability formula, can you give me a tricky question to check if i really understood?",jemh114__theoretical_probability_formula,"ready_for_next,curiosity,high_confidence","High confidence,Mastery threshold met",QUIZ,4
ok done. what's next in this chapter?,INHERIT_CURRENT_CONCEPT,"ready_for_next,topic_shift",Mastery threshold met,TRANSFER_PROBLEM,4
"For proving root 2 irrational, is that p divides a square then p divides a theorem important? I dont remember it well.",jemh101__proof_by_contradiction_method,"self_monitoring,confusion,question","Prerequisite awareness,Prerequisite weakness",REVIEW,4
"This substitution method is easy, I've done it many times. Can we move to elimination method or something harder?",jemh103__substitution_method,"ready_for_next,topic_shift,high_confidence","High confidence,Mastery threshold met",QUIZ,4
"Wait, I totally forgot what was the main idea of previous section. Can we quickly go over it?",INHERIT_CURRENT_CONCEPT,"confusion,self_monitoring,request_hint",Prerequisite weakness,BRIDGE_RECAP,4
"These trig identities are too much proving. Can we just do questions that use them, not proving them? Or skip this part?",jemh108__proving_trig_identities,"frustration,topic_shift,shortcut_seeking",High load_risk,METACOGNITIVE_REFLECT,4
"Before I do anything else with polynomials, can you tell me again what degree means? Is it highest power of x? I am not sure.",jemh102__polynomial_degree,"confusion,question,self_monitoring",Prerequisite weakness,REVIEW,4
I think I got the hang of this. What's the next exercise?,INHERIT_CURRENT_CONCEPT,"ready_for_next,topic_shift","Mastery threshold met,High confidence",TRANSFER_PROBLEM,4
"Similarity of triangles. It's like congruency only na? But not exactly? I forgot the difference between them, should I revise 9th class geometry first?",jemh106__similar_figures,"confusion,question,self_monitoring","Prerequisite awareness,Prerequisite weakness",BRIDGE_RECAP,4
"Probability formula is easy, outcomes by total outcomes. What about like compound events? When do we multiply or add probabilities?",jemh114__theoretical_probability_formula,"ready_for_next,topic_shift,curiosity",High confidence,TRANSFER_PROBLEM,4
"I just can't get this proof that root 5 is irrational, it's so long. Can we just remember the steps and move to next sum?",jemh101__proving_irrationality_root_n,"frustration,shortcut_seeking,topic_shift","High load_risk,Low productive_struggle",METACOGNITIVE_REFLECT,4
I forgot the basics of trigonometry like what is sin cos tan. Can we just quickly recap that part before moving to identities?,jemh108__intro_trigonometry,"self_monitoring, prerequisite_weakness, topic_shift","Prerequisite awareness, Low confidence",REVIEW,4
I already know how to do substitution. Can we just do one more problem on elimination and then move on?,jemh103__elimination_method,"ready_for_next, topic_shift, high_confidence","Mastery threshold met, High confidence",QUIZ,4
"This contradiction method is very hard for my brain. Can we just do another topic now? I can come back to this later, maybe.",jemh101__proof_by_contradiction_method,"frustration, cognitive_overload, topic_shift","High load_risk, Low productive_struggle",RESUME_STATE,4
"I don't even remember what is quadratic equation, is it like ax^2+bx+c? I need to go back to that.",jemh104__quadratic_equation_definition,"confusion, self_monitoring, prerequisite_weakness","Prerequisite awareness, Low confidence",REVIEW,4
"okay i think i got this concept, where do we go from here?",INHERIT_CURRENT_CONCEPT,"ready_for_next, self_monitoring","Partial mastery, Active engagement",TRANSFER_PROBLEM,4
Direct method for mean data is too much sum calculation. Can we always skip to assumed mean method? It's faster.,jemh113__mean_grouped_data,"shortcut_seeking, ready_for_next","High confidence, Procedural focus",QUIZ,4
"This is all too much for me now, can we take a break or do something lighter?",INHERIT_CURRENT_CONCEPT,"cognitive_overload, frustration, disengagement","High load_risk, Low productive_struggle",ENCOURAGE,4
"BPT theorem, before we do converse, can you just recap what BPT says again? I always mix them up.",jemh106__basic_proportionality_theorem,"confusion, self_monitoring, topic_shift","Prerequisite awareness, Low confidence",BRIDGE_RECAP,4
AP definition is easy. Can we do hard problems with APs directly? Like finding sum of n terms or something.,jemh105__ap_definition_identification,"ready_for_next, high_confidence, shortcut_seeking","Mastery threshold met, High confidence",TRANSFER_PROBLEM,4
"HCF LCM product relation is easy, what's next? some hard problem please",jemh101__hcf_lcm_product_relation,"ready_for_next,topic_shift","High confidence,Mastery threshold met",TRANSFER_PROBLEM,4
can you explain substitution method again? i kinda forgot what substitute means na,jemh103__substitution_method,"confusion,request_hint","Prerequisite weakness,Low confidence",REVIEW,4
"ok i think i got this concept, should we try some practice sums now?",INHERIT_CURRENT_CONCEPT,"ready_for_next,self_monitoring",Mastery threshold met,TRANSFER_PROBLEM,4
"proving trig identities is so hard man, can we just do application of trig like heights and distances? that is more interesting",jemh108__proving_trig_identities,"frustration,topic_shift,shortcut_seeking","High load_risk,Low productive_struggle",BRIDGE_RECAP,4
"BPT theorem, i remember this from 9th right? can you remind me the main point before we start problems?",jemh106__basic_proportionality_theorem,"self_monitoring,question",Prerequisite awareness,BRIDGE_RECAP,4
i dont understand what the question is asking only. is this related to something we did before?,INHERIT_CURRENT_CONCEPT,"confusion,question","Prerequisite weakness,High load_risk",EXPLAIN,4
"mean is done na? all direct, assumed mean, step deviation methods. can we do mode now?",jemh113__mean_grouped_data,"ready_for_next,topic_shift","High confidence,Mastery threshold met",QUIZ,4
"ugh this is taking too long, can we just quickly finish this topic pls",INHERIT_CURRENT_CONCEPT,"frustration,disengagement,topic_shift","Low productive_struggle,High load_risk",ENCOURAGE,4
"sir i totally forgot about coordinate axes and quadrants from class 9, how can i understand distance formula without it?",jemh107__cartesian_coordinate_system,"confusion,self_monitoring,request_hint","Prerequisite weakness,Low confidence",REVIEW,4
"probability formula is like super simple, can we just do some really tough sums with cards or dice? i think i got it",jemh114__theoretical_probability_formula,"ready_for_next,curiosity","High confidence,Mastery threshold met",TRANSFER_PROBLEM,4
"HCF LCM product relation is simple. can we directly solve some hard problems on it, like mixed ones?",jemh101__hcf_lcm_product_relation,"ready_for_next,high_confidence,procedural_focus","Mastery threshold met,High confidence",QUIZ,4
all these x and y points confuse me in coordinate geometry. i think i forgot how to plot them. can we revise that first?,jemh107__cartesian_coordinate_system,"confusion,self_monitoring,topic_shift,low_confidence","Prerequisite weakness,Low confidence",REVIEW,4
"okay okay, i think i got it now. what's the next concept?",INHERIT_CURRENT_CONCEPT,"ready_for_next,self_monitoring",Mastery threshold met,TRANSFER_PROBLEM,4
"BPT is so difficult to prove na, my head is aching. can we just see how to use it in problems and move on?",jemh106__basic_proportionality_theorem,"frustration,shortcut_seeking,topic_shift","High load_risk,Low productive_struggle",SOCRATIC_Q,4
"before we do these word problems for quadratic eq, can we quickly recall how to factorize? i always get stuck there.",jemh104__quadratic_equation_definition,"self_monitoring,topic_shift,request_hint","Prerequisite awareness,Low confidence",BRIDGE_RECAP,4
"alright, got it perfectly. let's go to the next level.",INHERIT_CURRENT_CONCEPT,"ready_for_next,high_confidence","Mastery threshold met,High confidence",TRANSFER_PROBLEM,4
"i just feel so dumb today, nothing is going into my head.",INHERIT_CURRENT_CONCEPT,"low_confidence,frustration,cognitive_overload","High load_risk,Low confidence",ENCOURAGE,5
"these proofs for root 2 irrationality na, i just cannot get the logic right. i keep forgetting steps, i think i'll fail this section.",jemh101__proving_irrationality_root_n,"low_confidence,anxiety,confusion,frustration","High load_risk,Low confidence,Recurring error",WORKED_EXAMPLE,5
"everyone else understands it so fast, but i am just so slow. maybe math is not for me.",INHERIT_CURRENT_CONCEPT,"low_confidence,disengagement,anxiety","Low confidence,High load_risk",ENCOURAGE,5
"consistent, inconsistent, dependent... i get all mixed up. i always choose the wrong one in tests.",jemh103__system_classification,"confusion,low_confidence,anxiety,recurring_error","High load_risk,Low confidence,Recurring error",MISCONCEPTION_PROBE,5
i just mug up this nth term formula but i'm scared i'll forget it during the exam. my memory is so bad.,jemh105__nth_term_formula,"low_confidence,anxiety,self_monitoring,procedural_focus","Low confidence,High load_risk",METACOGNITIVE_REFLECT,5
i can't do this anymore. i'm going to fail this chapter for sure.,INHERIT_CURRENT_CONCEPT,"frustration,disengagement,low_confidence,anxiety","High load_risk,Low confidence",ENCOURAGE,5
"SAS, SSS, AAA... all these triangle similarities look same to me, how will i ever identify them correctly?",jemh106__sas_similarity,"confusion,low_confidence,anxiety,cognitive_overload","High load_risk,Low confidence,Recurring error",VISUAL_ANALOGY,5
"proving trig identities is the worst, i always mess up the steps and then nothing matches. i think i don't have the brain for this.",jemh108__proving_trig_identities,"frustration,low_confidence,anxiety,self_deprecation,cognitive_overload","High load_risk,Low confidence,Recurring error",WORKED_EXAMPLE,5
"i'm stuck, i don't know what to do next. this always happens to me in math.",INHERIT_CURRENT_CONCEPT,"low_confidence,frustration,hint_dependency,self_monitoring","Low confidence,High load_risk",ENCOURAGE,5
"combined solids problems are so tricky, especially in exams. i always get confused about what formulas to use and which part to omit. what if i make a silly mistake again?",jemh112__surface_area_combined_solids,"anxiety,confusion,low_confidence,procedural_focus,recurring_error","High load_risk,Low confidence,Recurring error",ISOMORPHIC_PRACTICE,5
"this proof by contradiction method, i feel like i always mess it up in exams, like what if i forget one step? then all marks gone.",jemh101__proof_by_contradiction_method,"low_confidence,anxiety,procedural_focus","Low confidence,High load_risk",ENCOURAGE,5
"consistent, inconsistent, dependent... all sound same only. i always get confused which one is for what lines, my brain just hangs.",jemh103__system_classification,"confusion,low_confidence,cognitive_overload","High load_risk,Low confidence",REPRESENTATION_TRANSLATION,5
"i dont think i can ever get good marks in math, this chapter is too hard for me, i just give up.",INHERIT_CURRENT_CONCEPT,"frustration,disengagement,low_confidence","High load_risk,Low confidence",ENCOURAGE,5
"the quadratic formula, i know it but i always make calculation mistakes na, like signs or square root. its so frustrating.",jemh104__quadratic_formula,"low_confidence,frustration,procedural_focus","Low confidence,Recurring error",WORKED_EXAMPLE,5
"i just cant seem to understand this concept, feels like everyone else gets it but me.",INHERIT_CURRENT_CONCEPT,"low_confidence,confusion,anxiety","Low confidence,High load_risk",METACOGNITIVE_REFLECT,5
AP nth term formula is okay but when problems come with two three conditions i just get lost. i feel so dumb sometimes.,jemh105__nth_term_formula,"confusion,low_confidence,cognitive_overload","High load_risk,Low confidence",SOCRATIC_Q,5
"i keep forgetting things i learned before, how will i pass the exams like this?",INHERIT_CURRENT_CONCEPT,"anxiety,self_monitoring,low_confidence","High load_risk,Low confidence,Prerequisite weakness",REVIEW,5
"these trig identities are so many, i cant remember which one is which. what if i use the wrong one in a sum? full sum wrong.",jemh108__pythagorean_trig_identities,"anxiety,low_confidence,cognitive_overload","High load_risk,Low confidence",VISUAL_ANALOGY,5
"is this even useful? i'm really struggling and i don't see the point, just want to finish this chapter somehow.",INHERIT_CURRENT_CONCEPT,"disengagement,frustration,low_confidence","Low productive_struggle,High load_risk",ENCOURAGE,5
"mean of grouped data calculation is so long. i always mess up the 'fi xi' column, then all answers are wrong. i hate statistics.",jemh113__mean_grouped_data,"frustration,low_confidence,procedural_focus","Recurring error,High load_risk",WORKED_EXAMPLE,5
"i just dont understand anything, my brain is not working today, i feel so dumb",INHERIT_CURRENT_CONCEPT,"low_confidence,frustration,cognitive_overload","High load_risk,Low confidence",ENCOURAGE,5
"what if this comes in the exam, i will definitely fail this question, i cant do this",INHERIT_CURRENT_CONCEPT,"anxiety,low_confidence,frustration","High load_risk,Low confidence",ENCOURAGE,5
"this is too hard for me, i give up. i am not smart enough for math",INHERIT_CURRENT_CONCEPT,"disengagement,low_confidence,frustration","High load_risk,Low confidence",ENCOURAGE,5
can we really solve this problem or is it just too tough for me? i feel like im not getting anywhere,INHERIT_CURRENT_CONCEPT,"low_confidence,question,self_monitoring","Low confidence,High load_risk",ENCOURAGE,5
"proving root 5 is irrational is so confusing, i mess up every single step, i just dont get the logic, how will i ever do this in exam?",jemh101__proving_irrationality_root_n,"confusion,low_confidence,anxiety,frustration","High load_risk,Low confidence,Recurring error",WORKED_EXAMPLE,5
"i always get stuck in AP sums, especially the sum of n terms formula, like which 'n' to use and when. i feel so confused when the problem changes a bit",jemh105__sum_n_terms_formula,"confusion,low_confidence,procedural_focus","Low confidence,High load_risk,Recurring error",ISOMORPHIC_PRACTICE,5
i always mix up sum of zeroes and product of zeroes for quadratics. is it -b/a or c/a? i always forget and then everything goes wrong.,jemh102__quadratic_coefficients,"confusion,low_confidence,misconception_clue,anxiety","Recurring Misconception,Low confidence",MISCONCEPTION_PROBE,5
"that tangent perpendicular to radius rule, i get it conceptually but when i draw it for questions, i somehow mess up and the answer doesn't come. am i doing it wrong always?",jemh110__tangent_radius_perpendicularity,"confusion,low_confidence,procedural_focus,self_monitoring","Low confidence,Recurring error",WORKED_EXAMPLE,5
"these surface area of combined solids questions are my nightmare. i always forget which surfaces to include or exclude, it's too much detail for me to remember everything.",jemh112__surface_area_combined_solids,"anxiety,frustration,low_confidence,cognitive_overload","High load_risk,Low confidence,Recurring error",VISUAL_ANALOGY,5
"i cant solve heights and distances problems, i always mess up the angles of elevation and depression, it's so confusing to even draw the diagram right. i think i will leave this chapter.",jemh109__heights_distances_problem_solving,"low_confidence,frustration,confusion,disengagement,diagrammatic","High load_risk,Low confidence,Recurring error",REPRESENTATION_TRANSLATION,5
"this proving root 3 is irrational, i just cant get it. its like i understand it for a minute then poof, its gone. maybe i am just dumb.",jemh101__proving_irrationality_root_n,"low_confidence,frustration,confusion","High load_risk,Low confidence",ENCOURAGE,5
yaar i am so scared for boards. what if i forget everything? all this math is too much pressure.,INHERIT_CURRENT_CONCEPT,"anxiety,low_confidence,frustration","High load_risk,Low confidence",ENCOURAGE,5
"quadratic equation has factorization method, then that formula method also. its all getting mixed up in my head. how will i choose in exam?",jemh104__quadratic_formula,"cognitive_overload,confusion,low_confidence","High load_risk,Low confidence",WORKED_EXAMPLE,5
"these trig identities are just impossible to prove. i practice them but still, i make mistakes. i feel like giving up on this topic.",jemh108__proving_trig_identities,"frustration,low_confidence,disengagement","High load_risk,Low confidence",METACOGNITIVE_REFLECT,5
"i dont think i can solve this, my brain is not working today. its too difficult for me.",INHERIT_CURRENT_CONCEPT,"low_confidence,frustration,self_monitoring","Low confidence,High load_risk",ENCOURAGE,5
"mean median mode na, like which one should i use when? i always confuse them. i feel so stupid for not getting it.",jemh113__interpreting_measures,"confusion,low_confidence,self_monitoring","Low confidence,Recurring error",MISCONCEPTION_PROBE,5
"aaa, sss, sas, aa... all these similarity criteria look the same only. how am i supposed to remember which one applies where? its too much info.",jemh106__triangle_similarity_criteria_intro,"cognitive_overload,confusion,low_confidence","High load_risk,Low confidence",VISUAL_ANALOGY,5
this entire math subject is just not for me. i just keep struggling and getting confused.,INHERIT_CURRENT_CONCEPT,"disengagement,low_confidence,frustration","High load_risk,Low confidence",ENCOURAGE,5
"when they combine like a cylinder and a cone, how do you even visualize what parts to add for surface area? i get so confused with 3d shapes.",jemh112__surface_area_combined_solids,"confusion,low_confidence,anxiety","High load_risk,Low confidence",VISUAL_ANALOGY,5
"i hope i can remember all this for the final exam. there are so many formulas and steps, i'm worried.",INHERIT_CURRENT_CONCEPT,"anxiety,low_confidence,self_monitoring",Low confidence,ENCOURAGE,5
"I feel so dumb, i just cant get anything right today.",INHERIT_CURRENT_CONCEPT,"low_confidence, self_monitoring, frustration","High load_risk, Low confidence",ENCOURAGE,5
"I think I'm just not good at math, it's too hard for me.",INHERIT_CURRENT_CONCEPT,"low_confidence, disengagement, anxiety","Low confidence, High load_risk",ENCOURAGE,5
Will this even come in the board exam? I'm already so stressed.,INHERIT_CURRENT_CONCEPT,"anxiety, disengagement, topic_shift",High load_risk,METACOGNITIVE_REFLECT,5
"My brain is just frozen, nothing is entering today, it's too much.",INHERIT_CURRENT_CONCEPT,"cognitive_overload, low_confidence, frustration",High load_risk,ENCOURAGE,5
"This root 2 proof na, I keep forgetting steps, I don't think I can ever do it right, my mind just goes blank.",jemh101__proving_irrationality_root_n,"low_confidence, recurring_error, frustration","Low confidence, Recurring error, High load_risk",WORKED_EXAMPLE,5
"Discriminant? Nature of roots? It all just mixes up in my head, I'm never sure which formula to use, I feel so stupid trying.",jemh104__discriminant_nature_of_roots,"confusion, low_confidence, anxiety","Low confidence, High load_risk",VISUAL_ANALOGY,5
"All these similarity criteria, AAA, SSS, SAS... I always get confused and pick the wrong one. I'm afraid I'll lose marks.",jemh106__triangle_similarity_criteria_intro,"low_confidence, confusion, anxiety","Low confidence, Recurring Misconception, High load_risk",ISOMORPHIC_PRACTICE,5
"These trig identities are too many, I can't remember them all. I'll surely mess up the proofs in the exam.",jemh108__pythagorean_trig_identities,"low_confidence, anxiety, frustration","Low confidence, High load_risk",METACOGNITIVE_REFLECT,5
"When shapes are combined, I never know which area to subtract or add for surface area. I always get it wrong.",jemh112__surface_area_combined_solids,"recurring_error, low_confidence, frustration","Recurring error, Low confidence, High load_risk",MISCONCEPTION_PROBE,5
I always mess up the calculations for grouped mean. My teacher says I rush but I just can't focus for so long on numbers.,jemh113__mean_grouped_data,"frustration, low_confidence, cognitive_overload","High load_risk, Low confidence, Recurring error",ENCOURAGE,5
"i feel so dumb, i just cant get this at all today. it's too much.",INHERIT_CURRENT_CONCEPT,"low_confidence,frustration,anxiety,cognitive_overload","High load_risk,Low confidence",ENCOURAGE,5
"this root 3 irrational proof is just too much, i think i'll just skip this type of question for boards, it's too confusing.",jemh101__proving_irrationality_root_n,"low_confidence,frustration,disengagement,anxiety","High load_risk,Low confidence",METACOGNITIVE_REFLECT,5
"i dont think i can pass this chapter in the exam, everything is so hard for me.",INHERIT_CURRENT_CONCEPT,"anxiety,low_confidence,frustration","High load_risk,Low confidence",ENCOURAGE,5
"discriminant wala concept, i always mess it up. will i ever understand when roots are real or not real? it's like a mental block for me.",jemh104__discriminant_nature_of_roots,"low_confidence,confusion,anxiety,recurring_error","Low confidence,Recurring error,High load_risk",WORKED_EXAMPLE,5
"my brain is totally frozen, nothing is going in today, i just cant focus anymore.",INHERIT_CURRENT_CONCEPT,"cognitive_overload,low_confidence,frustration,disengagement",High load_risk,ENCOURAGE,5
"all these similarity rules for triangles (AAA, SAS etc), how do i remember which one is which? i always mix them up and get confused in exams.",jemh106__triangle_similarity_criteria_intro,"confusion,low_confidence,anxiety,recurring_error","Low confidence,Recurring error",VISUAL_ANALOGY,5
"identities in trig are my weakness. i just stare at them and nothing comes to mind, i feel so stupid for not getting it.",jemh108__pythagorean_trig_identities,"low_confidence,frustration,anxiety,cognitive_overload","High load_risk,Low confidence",ISOMORPHIC_PRACTICE,5
"i think i'm just not good at math, maybe i should just give up on this topic completely.",INHERIT_CURRENT_CONCEPT,"low_confidence,disengagement,anxiety,frustration","High load_risk,Low confidence",ENCOURAGE,5
"surface area of combined solids, it feels like a trick question every time. i am so scared to attempt these sums in the exam.",jemh112__surface_area_combined_solids,"anxiety,low_confidence,frustration,cognitive_overload","High load_risk,Low confidence",WORKED_EXAMPLE,5
"mean of grouped data, i always make calculation mistake in the direct method na, my mental math is so bad and i fear losing marks.",jemh113__mean_grouped_data,"low_confidence,anxiety,procedural_focus,recurring_error","Low confidence,Recurring error,High load_risk",MISCONCEPTION_PROBE,5
"i just feel so dumb today, like nothing is going in my head.",INHERIT_CURRENT_CONCEPT,"low_confidence, frustration, cognitive_overload","High load_risk, Low confidence",ENCOURAGE,5
"all these sin cos values na for 30 45 60, i keep forgetting them. how will i ever remember for the exam?",jemh108__trig_ratios_specific_angles,"low_confidence, anxiety, confusion","High load_risk, Low confidence",WORKED_EXAMPLE,5
"i can never understand these proof sums, they are so confusing. i think i will just skip this whole section in boards.",jemh101__proving_irrationality_root_n,"low_confidence, frustration, disengagement","High load_risk, Low confidence",VISUAL_ANALOGY,5
"math is just not for me, i get stuck on every small thing.",INHERIT_CURRENT_CONCEPT,"low_confidence, frustration, self_monitoring","Low confidence, High load_risk",ENCOURAGE,5
"this discriminant thing, i thought i understood it but now i'm totally lost. is it that hard or am i just bad at this?",jemh104__discriminant_nature_of_roots,"low_confidence, confusion, anxiety","Low confidence, High load_risk, Recurring error",MISCONCEPTION_PROBE,5
"all these mean median mode, i mix them up always. i feel like i will make a mistake in the exam.",jemh113__interpreting_measures,"confusion, anxiety, low_confidence","Low confidence, High load_risk, Recurring error",SOCRATIC_Q,5
i tried like three times but still not getting it. maybe i should just give up.,INHERIT_CURRENT_CONCEPT,"frustration, low_confidence, disengagement","High load_risk, Low confidence",METACOGNITIVE_REFLECT,5
"aaa, sss, sas, all these triangle similarity rules... my head is spinning. how can I tell which one to use when?",jemh106__triangle_similarity_criteria_intro,"confusion, cognitive_overload, low_confidence, anxiety","High load_risk, Low confidence",REPRESENTATION_TRANSLATION,5
"i dont think i can clear this chapter, i am so scared for the exams because of this.",INHERIT_CURRENT_CONCEPT,"anxiety, low_confidence, frustration","High load_risk, Low confidence",ENCOURAGE,5
"section formula always confuses me, especially when finding the ratio. i always get the signs wrong. i feel very low about it.",jemh107__section_formula,"low_confidence, confusion, frustration, anxiety","High load_risk, Low confidence, Recurring error",WORKED_EXAMPLE,5
"i still dont get how root 2 is irrational after all this explanation, i feel so dumb",jemh101__proving_irrationality_root_n,"low_confidence,frustration,confusion","High load_risk,Low confidence",ENCOURAGE,5
"discriminant and nature of roots is my weakest point, i always mess up the conditions. i think i will fail this part.",jemh104__discriminant_nature_of_roots,"low_confidence,anxiety,frustration,misconception_clue","High load_risk,Low confidence,Recurring error",WORKED_EXAMPLE,5
"all these trig identities are just too many, i cant remember them for the exam, what if i forget one small plus minus sign?",jemh108__pythagorean_trig_identities,"anxiety,low_confidence,cognitive_overload","High load_risk,Low confidence",VISUAL_ANALOGY,5
"i solve these tangent questions na, then in exam i get different type of question and i forget this theorem only. like all my practice goes waste.",jemh110__equal_tangent_lengths,"low_confidence,anxiety,frustration,transfer_attempt","High load_risk,Low confidence,Recurring error",ISOMORPHIC_PRACTICE,5
"surface area questions are so confusing, i never know what to add and what to subtract, i just guess and always get wrong answer",jemh112__surface_area_combined_solids,"confusion,low_confidence,frustration","High load_risk,Low confidence,Recurring error,Active misconception",MISCONCEPTION_PROBE,5
"i hate calculations for mean in grouped data, it takes so long and i always make silly mistakes. it feels like i am not good at math.",jemh113__mean_grouped_data,"frustration,low_confidence,anxiety,procedural_focus","High load_risk,Low confidence,Recurring error",ENCOURAGE,5
"i don't think i'll pass this chapter, it's just too difficult for me.",INHERIT_CURRENT_CONCEPT,"low_confidence,anxiety,disengagement","High load_risk,Low confidence",ENCOURAGE,5
"my brain is fried, i can't take any more new information today.",INHERIT_CURRENT_CONCEPT,"cognitive_overload,frustration,disengagement",High load_risk,METACOGNITIVE_REFLECT,5
"i just can't seem to understand this concept, no matter how many times you explain it.",INHERIT_CURRENT_CONCEPT,"low_confidence,confusion,frustration","High load_risk,Low confidence",REPRESENTATION_TRANSLATION,5
is it even worth studying this so hard? i feel like i'm just wasting my time.,INHERIT_CURRENT_CONCEPT,"disengagement,frustration,low_confidence,anxiety","High load_risk,Low confidence",ENCOURAGE,5
"i just feel so dumb today, this is too hard for me",INHERIT_CURRENT_CONCEPT,"low_confidence,frustration,anxiety","High load_risk,Low confidence",ENCOURAGE,5
"i dont think i will ever get this chapter right, too many formulas",INHERIT_CURRENT_CONCEPT,"low_confidence,anxiety,frustration","High load_risk,Low confidence",ENCOURAGE,5
"my brain just stopped working, i cant process anymore",INHERIT_CURRENT_CONCEPT,"cognitive_overload,disengagement,low_confidence",High load_risk,METACOGNITIVE_REFLECT,5
"i am so scared for board exams, what if i forget everything",INHERIT_CURRENT_CONCEPT,"anxiety,low_confidence","High load_risk,Low confidence",ENCOURAGE,5
"discriminant wala concept is always confusing me, i just cant understand how it tells nature of roots properly",jemh104__discriminant_nature_of_roots,"confusion,low_confidence,frustration","Low confidence,Recurring Misconception",VISUAL_ANALOGY,5
"all these trig identities like sin sq theta + cos sq theta = 1 na, i keep forgetting them. how will I solve problems in exam?",jemh108__pythagorean_trig_identities,"low_confidence,anxiety,frustration","High load_risk,Low confidence",WORKED_EXAMPLE,5
"proof by contradiction is too abstract for me, i never know where to start or what to assume. i always make mistakes there",jemh101__proof_by_contradiction_method,"low_confidence,confusion,procedural_focus","High load_risk,Recurring error",MISCONCEPTION_PROBE,5
"BPT and converse BPT, i mix them up so easily. i'm not sure if i really get the conditions for each",jemh106__basic_proportionality_theorem,"confusion,low_confidence,misconception_clue","Low confidence,Recurring Misconception",ISOMORPHIC_PRACTICE,5
"for surface area of combined solids, i always forget to subtract the common part or i add extra. my answer is always wrong.",jemh112__surface_area_combined_solids,"low_confidence,frustration,misconception_clue","High load_risk,Recurring error",WORKED_EXAMPLE,5
"mean of grouped data calculation is so long, i keep making silly mistakes in sum xifi or division part. it's too much for me.",jemh113__mean_grouped_data,"low_confidence,frustration,procedural_focus","High load_risk,Recurring error",ENCOURAGE,5
"This root 5 irrational proof is so hard, I feel like I'll mess up the steps in exam.",jemh101__proving_irrationality_root_n,"low_confidence,anxiety,procedural_focus","Low confidence,High load_risk",WORKED_EXAMPLE,5
I still can't really imagine what the zeroes mean on the parabola. What if they ask to draw it for me?,jemh102__quadratic_zero_geometry,"low_confidence,confusion,graphical","Low confidence,Moderate load_risk",VISUAL_ANALOGY,5
"Quadratic formula always confuses me, especially the plus minus part. Will I ever get this right?",jemh104__quadratic_formula,"low_confidence,anxiety,confusion","Low confidence,Recurring error",ISOMORPHIC_PRACTICE,5
"BPT theorem seems easy in class but when I try sums alone, I get stuck every time. I'm so bad at proofs.",jemh106__basic_proportionality_theorem,"low_confidence,frustration,self_monitoring","Low confidence,High load_risk",WORKED_EXAMPLE,5
